pl_name,discoverymethod,disc_year
"OGLE-2016-BLG-1227L b","Microlensing",2020
"GJ 480 b","Radial Velocity",2020
"Kepler-276 c","Transit",2013
"Kepler-829 b","Transit",2016
"K2-283 b","Transit",2018
"Kepler-477 b","Transit",2016
"HAT-P-15 b","Transit",2010
"HD 149143 b","Radial Velocity",2005
"HD 210702 b","Radial Velocity",2007
"HIP 12961 b","Radial Velocity",2010
"XO-5 b","Transit",2008
"HD 5608 b","Radial Velocity",2012
"HD 95872 b","Radial Velocity",2015
"OGLE-2015-BLG-0966L b","Microlensing",2016
"WASP-123 b","Transit",2016
"tau Cet e","Radial Velocity",2017
"K2-254 c","Transit",2018
"HD 26965 b","Radial Velocity",2018
"EPIC 220554210 c","Transit",2019
"NSVS 14256825 b","Eclipse Timing Variations",2019
"Kepler-1390 b","Transit",2016
"Kepler-393 c","Transit",2014
"Kepler-263 c","Transit",2014
"Kepler-1431 b","Transit",2016
"Kepler-237 c","Transit",2014
"Kepler-1510 b","Transit",2016
"Kepler-169 e","Transit",2014
"Kepler-145 c","Transit",2013
"Kepler-219 c","Transit",2014
"Kepler-910 b","Transit",2016
"Kepler-1037 b","Transit",2016
"Kepler-992 b","Transit",2016
"Kepler-113 b","Transit",2014
"Kepler-1097 b","Transit",2016
"Kepler-382 b","Transit",2014
"Kepler-1310 b","Transit",2016
"WD 1856+534 b","Transit",2020
"42 Dra b","Radial Velocity",2008
"61 Vir c","Radial Velocity",2009
"70 Vir b","Radial Velocity",1996
"Kepler-255 c","Transit",2014
"K2-60 b","Transit",2016
"Kepler-52 c","Transit",2012
"Kepler-248 b","Transit",2014
"24 Sex b","Radial Velocity",2010
"24 Sex c","Radial Velocity",2010
"rho CrB c","Radial Velocity",2016
"HAT-P-43 b","Transit",2012
"DENIS-P J082303.1-491201 b","Astrometry",2013
"HIP 63242 b","Radial Velocity",2013
"GJ 504 b","Imaging",2013
"2MASS J01225093-2439505 b","Imaging",2013
"WD 0806-661 b","Imaging",2011
"RR Cae b","Eclipse Timing Variations",2012
"HATS-28 b","Transit",2016
"2MASS J19383260+4603591 b","Eclipse Timing Variations",2015
"HATS-27 b","Transit",2016
"HATS-15 b","Transit",2016
"GJ 3341 b","Radial Velocity",2015
"GJ 3512 b","Radial Velocity",2019
"GJ 581 b","Radial Velocity",2005
"55 Cnc f","Radial Velocity",2007
"EPIC 201833600 c","Transit",2019
"EPIC 205950854 c","Transit",2019
"EPIC 249893012 b","Transit",2020
"EPIC 249893012 c","Transit",2020
"GJ 3293 d","Radial Velocity",2017
"GJ 3473 c","Radial Velocity",2020
"GJ 3998 c","Radial Velocity",2016
"BD-08 2823 b","Radial Velocity",2009
"BD-10 3166 b","Radial Velocity",2000
"BD-13 2130 b","Radial Velocity",2007
