pl_name,discoverymethod,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,disc_year
"HD 114762 b","Radial Velocity",2,1,0,79.24789,330.64674,83.91510000,12.440,1989
"PSR B1257+12 c","Pulsar Timing",1,3,0,75.41367,311.30973,66.54190000,1.910,1992
"PSR B1257+12 d","Pulsar Timing",1,3,0,75.41367,311.30973,98.21140000,1.800,1992
"PSR B1257+12 b","Pulsar Timing",1,3,0,75.41367,311.30973,25.26200000,0.338,1994
"51 Peg b","Radial Velocity",1,1,0,-34.72750,90.06374,4.23078500,14.300,1995
"16 Cyg B b","Radial Velocity",3,1,0,13.20446,83.33558,798.50000000,13.500,1996
"70 Vir b","Radial Velocity",1,1,0,74.09910,337.65749,116.68800000,12.600,1996
"47 UMa b","Radial Velocity",1,3,0,63.36770,175.78305,1078.00000000,13.200,1996
"55 Cnc b","Radial Velocity",2,5,0,37.69663,196.79526,14.65160000,13.900,1996
"ups And b","Radial Velocity",2,3,0,-20.66791,132.00045,4.61703300,14.000,1996
"tau Boo b","Radial Velocity",2,1,0,73.89072,358.93289,3.31245680,12.800,1996
"rho CrB b","Radial Velocity",1,2,0,48.92412,53.48367,39.84580000,13.800,1997
"HD 195019 b","Radial Velocity",2,1,0,-11.47701,61.15665,18.20132000,13.000,1998
"GJ 876 b","Radial Velocity",1,4,0,-59.63511,52.00313,61.11660000,13.300,1998
"HD 187123 b","Radial Velocity",1,2,0,4.67926,69.46581,3.09658280,14.200,1998
"HD 168443 b","Radial Velocity",1,2,0,2.50674,20.81376,58.11247000,12.600,1998
"HD 210277 b","Radial Velocity",1,1,0,-46.96648,52.34827,442.19000000,13.600,1998
"HD 217107 b","Radial Velocity",1,2,0,-53.32407,70.47402,7.12682000,13.600,1998
"ups And c","Radial Velocity",2,3,0,-20.66791,132.00045,241.25800000,13.400,1999
"HD 192263 b","Radial Velocity",1,1,0,-18.69708,41.87586,24.35560000,14.200,1999
"ups And d","Radial Velocity",2,3,0,-20.66791,132.00045,1276.46000000,13.000,1999
"GJ 86 b","Radial Velocity",2,1,0,-61.95722,275.90766,15.76491000,12.900,1999
"HD 209458 b","Radial Velocity",1,1,0,-28.52705,76.75338,3.52474859,15.581,1999
"HD 75289 b","Radial Velocity",2,1,0,1.08882,262.21007,3.50927000,14.200,1999
"HD 89744 b","Radial Velocity",2,1,0,56.39325,178.39109,256.78000000,12.600,1999
"HD 134987 b","Radial Velocity",1,2,0,27.38710,339.18433,258.17999000,13.500,1999
"HD 130322 b","Radial Velocity",1,1,0,50.89111,353.21360,10.70871000,13.700,1999
"HD 222582 b","Radial Velocity",2,1,0,-63.15191,81.75683,572.38000000,12.600,1999
"HR 810 b","Radial Velocity",1,1,0,-58.32307,268.80649,302.79999000,13.300,1999
"HD 177830 b","Radial Velocity",2,2,0,8.67193,57.68396,410.10001000,13.500,1999
"HD 10697 b","Radial Velocity",1,1,0,-41.04386,139.67128,1075.69000000,12.700,1999
"BD-10 3166 b","Radial Velocity",1,1,0,43.23793,263.28467,3.48777000,14.100,2000
"HD 46375 b","Radial Velocity",2,1,0,-1.54562,205.99222,3.02357300,10.000,2000
"HD 160691 b","Radial Velocity",1,4,0,-11.49850,340.05994,643.25000000,13.500,2000
"HD 12661 b","Radial Velocity",1,2,0,-34.58321,143.06278,262.70862000,13.300,2000
"eps Eri b","Radial Velocity",1,1,0,-48.05487,195.84135,2690.00000000,14.000,2000
"GJ 3021 b","Radial Velocity",2,1,0,-37.14415,304.86901,133.71000000,13.100,2000
"HD 92788 b","Radial Velocity",1,2,0,47.35154,251.20809,325.80300000,13.000,2000
"HD 16141 b","Radial Velocity",2,1,0,-55.78037,173.94139,75.52300000,10.900,2000
"HD 168443 c","Radial Velocity",1,2,0,2.50674,20.81376,1749.83000000,12.200,2000
"HD 52265 b","Radial Velocity",1,1,0,-0.48127,218.71677,119.27000000,13.700,2000
"HD 27442 b","Radial Velocity",2,1,0,-42.56321,270.20525,428.10000000,13.500,2000
"HD 169830 b","Radial Velocity",1,2,0,-8.47110,3.68683,225.62000000,13.200,2000
"HD 179949 b","Radial Velocity",1,1,0,-15.78659,13.45534,3.09251400,13.900,2000
"HD 38529 b","Radial Velocity",2,2,0,-13.83753,204.31771,14.30944000,13.900,2000
"GJ 876 c","Radial Velocity",1,4,0,-59.63511,52.00313,30.08810000,14.000,2000
"HD 38529 c","Radial Velocity",2,2,0,-13.83753,204.31771,2136.10000000,12.300,2000
"HD 28185 b","Radial Velocity",1,1,0,-36.93078,205.59383,379.00000000,12.800,2001
"HD 39091 b","Radial Velocity",1,2,0,-29.77608,292.50808,2093.07000000,12.300,2001
"HD 23079 b","Radial Velocity",1,1,0,-49.65310,264.32032,730.59998000,13.200,2001
"HD 80606 b","Radial Velocity",2,1,0,44.31146,167.42908,111.43670000,11.994,2001
"HD 114783 b","Radial Velocity",1,2,0,60.16222,313.66815,493.70000000,13.700,2001
"HD 213240 b","Radial Velocity",2,1,0,-55.07162,343.71918,882.70001000,12.800,2001
"HD 142 b","Radial Velocity",2,2,0,-66.38756,321.58140,349.70000000,13.700,2001
"HD 4208 b","Radial Velocity",1,1,0,-88.32478,54.00797,832.97000000,13.900,2001
"HD 68988 b","Radial Velocity",1,1,0,33.91958,155.26292,6.27711000,13.400,2001
"HD 4203 b","Radial Velocity",1,2,0,-42.39530,120.79104,431.88000000,13.300,2001
"47 UMa c","Radial Velocity",1,3,0,63.36770,175.78305,2391.00000000,14.200,2001
"HD 178911 B b","Radial Velocity",3,1,0,11.69384,65.99249,71.48400000,12.600,2001
"HD 72659 b","Radial Velocity",1,1,0,21.88046,226.75388,3658.00000000,13.000,2002
"HD 216437 b","Radial Velocity",1,1,0,-43.90561,316.27280,1334.28000000,13.300,2002
"HD 30177 b","Radial Velocity",1,2,0,-39.73385,267.36972,2527.83000000,12.600,2002
"HD 76700 b","Radial Velocity",1,1,0,-13.91873,282.48954,3.97097000,9.600,2002
"OGLE-TR-56 b","Transit",1,1,0,-2.36540,0.70525,1.21191890,15.278,2002
"HD 12661 c","Radial Velocity",1,2,0,-34.58321,143.06278,1708.00000000,13.400,2002
"iot Dra b","Radial Velocity",1,1,0,48.62777,93.97119,511.09800000,12.500,2002
"HD 216435 b","Radial Velocity",1,1,0,-58.71051,341.69196,1311.00000000,13.700,2002
"HD 47536 b","Radial Velocity",1,1,0,-16.77741,241.18153,712.13000000,12.600,2002
"HD 114729 b","Radial Velocity",2,1,0,30.77939,308.19408,1121.79000000,13.900,2002
"HD 128311 b","Radial Velocity",1,2,0,59.83597,2.72920,453.01900000,13.500,2002
"HD 168746 b","Radial Velocity",1,1,0,1.03031,18.96358,6.40400000,11.100,2002
"HD 2039 b","Radial Velocity",1,1,0,-60.08347,310.40299,1120.00000000,12.700,2002
"HD 37124 b","Radial Velocity",1,3,0,-5.97486,185.96381,154.37800000,14.000,2002
"HD 37124 c","Radial Velocity",1,3,0,-5.97486,185.96381,885.50000000,14.100,2002
"HD 83443 b","Radial Velocity",1,1,0,6.67887,269.59585,2.98570000,12.700,2002
"HD 108147 b","Radial Velocity",1,1,0,-1.29064,300.12454,10.89850000,10.900,2002
"HD 108874 b","Radial Velocity",1,2,0,83.62475,253.57668,394.48123000,13.600,2002
"HD 162020 b","Radial Velocity",1,1,0,-6.72629,350.73899,8.42820000,12.500,2002
"HD 196050 b","Radial Velocity",3,1,0,-36.35873,335.91879,1378.00000000,13.100,2002
"HD 40979 b","Radial Velocity",3,1,0,10.87165,168.49578,264.14999000,12.900,2002
