disc_facility,count(*)
"Multiple Observatories",163
"K2",426
"CoRoT",33
"MOA",25
"KELT-South",4
"Mauna Kea Observatory",1
"Kepler",2394
"W. M. Keck Observatory",178
"SuperWASP-North",5
"KELT",10
"Apache Point Observatory",1
"Atacama Large Millimeter Array (ALMA)",1
"Haleakala Observatory",2
"Transiting Exoplanet Survey Satellite (TESS)",129
"Spitzer Space Telescope",3
"KMTNet",19
"Hubble Space Telescope",6
"WASP-South",10
"Oak Ridge Observatory",1
"Haute-Provence Observatory",58
"Okayama Astrophysical Observatory",23
"Multiple Facilities",14
"Subaru Telescope",8
"Large Binocular Telescope Observatory",2
"Arecibo Observatory",3
"TrES",5
"KELT-North",7
"CHaracterising ExOPlanets Satellite (CHEOPS)",1
"Parkes Observatory",2
"Lick Observatory",33
"XO",7
"Cerro Tololo Inter-American Observatory",2
"MEarth Project",2
"Acton Sky Portal Observatory",1
"Infrared Survey Facility",1
"Gemini Observatory",9
"KOINet",1
"Yunnan Astronomical Observatory",3
"La Silla Observatory",247
"SuperWASP",113
"Thueringer Landessternwarte Tautenburg",8
"Leoncito Astronomical Complex",1
"HATSouth",69
"McDonald Observatory",29
"Anglo-Australian Telescope",37
"Xinglong Station",2
"Fred Lawrence Whipple Observatory",6
"Winer Observatory",1
"Qatar",11
"SuperWASP-South",32
"Kitt Peak National Observatory",1
"Teide Observatory",1
"OGLE",69
"HATNet",60
"Paranal Observatory",34
"Calar Alto Observatory",12
"Roque de los Muchachos Observatory",21
"Palomar Observatory",2
"Las Campanas Observatory",29
"Bohyunsan Optical Astronomical Observatory",19
"European Southern Observatory",2
"United Kingdom Infrared Telescope",2
