pl_name,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,glat,glon,pl_orbper,pl_rade,sy_dist,pl_eqt,pl_orbeccen
"OGLE-2016-BLG-1227L b","Microlensing",2020,"OGLE",1,1,-1.93858,355.52875,,13.900,,,
"GJ 480 b","Radial Velocity",2020,"Multiple Observatories",1,1,74.28650,291.48636,9.56700000,3.690,14.2358000,,0.100000
"Kepler-276 c","Transit",2013,"Kepler",1,3,9.13322,72.30607,31.88400000,2.900,1144.8600000,5.63000000000e+02,0.000000
"Kepler-829 b","Transit",2016,"Kepler",1,1,18.29325,71.95093,6.88337562,2.110,1073.7600000,8.57000000000e+02,0.000000
"K2-283 b","Transit",2018,"K2",1,1,-53.17740,123.48272,1.92103600,3.520,402.9150000,1.18600000000e+03,
"Kepler-477 b","Transit",2016,"Kepler",2,1,14.33019,73.50616,11.11990653,2.070,367.0000000,6.49000000000e+02,0.000000
"HAT-P-15 b","Transit",2010,"HATNet",1,1,-6.89160,161.55863,10.86350000,11.882,192.5160000,9.04000000000e+02,0.190000
"HD 149143 b","Radial Velocity",2005,"Haute-Provence Observatory",1,1,31.48148,17.51640,4.07182000,13.600,73.2801000,,0.016700
"HD 210702 b","Radial Velocity",2007,"Lick Observatory",1,1,-32.02111,76.29345,354.10000000,13.400,54.1963000,,0.028000
"HIP 12961 b","Radial Velocity",2010,"La Silla Observatory",1,1,-63.65019,210.53871,57.43500000,13.200,23.3710000,,0.170000
"XO-5 b","Transit",2008,"XO",1,1,26.93448,180.62567,4.18775580,12.780,276.2110000,1.23000000000e+03,0.000000
"HD 5608 b","Radial Velocity",2012,"Okayama Astrophysical Observatory",1,1,-28.89990,124.54264,779.90000000,13.500,58.1105000,,0.056000
"HD 95872 b","Radial Velocity",2015,"Multiple Facilities",1,1,34.28324,272.33533,4375.00000000,13.000,72.2195000,,0.060000
"OGLE-2015-BLG-0966L b","Microlensing",2016,"OGLE",1,1,-1.82120,0.95823,,4.860,3300.0000000,,
"WASP-123 b","Transit",2016,"SuperWASP",2,1,-19.48704,5.19559,2.97764120,14.773,197.9960000,1.52000000000e+03,0.000000
"tau Cet e","Radial Velocity",2017,"Multiple Observatories",1,4,-73.44240,173.07319,162.87000000,1.810,3.6030400,,0.180000
"K2-254 c","Transit",2018,"K2",1,2,57.38029,289.32884,12.11839000,2.190,227.7750000,5.51000000000e+02,
"HD 26965 b","Radial Velocity",2018,"Multiple Observatories",3,1,-38.06334,200.76332,42.37800000,2.840,5.0354500,,0.040000
"EPIC 220554210 c","Transit",2019,"K2",1,2,-54.87207,123.91754,0.70531000,1.480,496.2890000,,
"NSVS 14256825 b","Eclipse Timing Variations",2019,"Multiple Observatories",2,1,-17.30896,47.68869,3225.00000000,12.300,820.8770000,,0.120000
"Kepler-1390 b","Transit",2016,"Kepler",1,1,10.29931,82.29819,6.48021673,1.180,723.4310000,9.34000000000e+02,0.000000
"Kepler-393 c","Transit",2014,"Kepler",1,2,13.57678,77.06756,14.61361200,1.330,881.4040000,9.01000000000e+02,0.000000
"Kepler-263 c","Transit",2014,"Kepler",1,2,9.22104,70.58352,47.33277300,2.470,754.7470000,3.86000000000e+02,0.000000
"Kepler-1431 b","Transit",2016,"Kepler",1,1,14.53543,81.92215,5.86601526,1.470,1623.2400000,1.06400000000e+03,0.000000
"Kepler-237 c","Transit",2014,"Kepler",1,2,16.94089,70.20006,8.10363600,2.080,657.8220000,6.87000000000e+02,0.000000
"Kepler-1510 b","Transit",2016,"Kepler",1,1,10.13197,82.40526,84.70392100,3.360,1696.2500000,5.37000000000e+02,0.000000
"Kepler-169 e","Transit",2014,"Kepler",1,5,15.17842,71.50909,13.76710200,2.200,406.5290000,5.95000000000e+02,0.000000
"Kepler-145 c","Transit",2013,"Kepler",1,2,13.04277,76.57260,42.88200000,4.320,566.8500000,7.09000000000e+02,0.110000
"Kepler-219 c","Transit",2014,"Kepler",1,3,15.64895,77.88787,22.71461300,3.580,787.0700000,7.66000000000e+02,0.000000
"Kepler-910 b","Transit",2016,"Kepler",1,1,9.22798,76.51187,2.36436901,0.820,400.2890000,1.75200000000e+03,0.000000
"Kepler-1037 b","Transit",2016,"Kepler",1,1,11.14897,80.57110,1.06378867,1.280,446.9140000,1.65000000000e+03,0.000000
"Kepler-992 b","Transit",2016,"Kepler",1,1,18.69367,77.61384,20.16034462,1.620,259.6390000,5.10000000000e+02,0.000000
"Kepler-113 b","Transit",2014,"Kepler",1,2,17.68980,81.73182,4.75400000,1.820,262.3510000,7.75000000000e+02,0.000000
"Kepler-1097 b","Transit",2016,"Kepler",1,1,18.84996,71.88436,187.74702900,3.260,719.8020000,2.67000000000e+02,0.000000
"Kepler-382 b","Transit",2014,"Kepler",1,2,8.83576,80.36831,5.26215500,1.320,935.4460000,1.16600000000e+03,0.000000
"Kepler-1310 b","Transit",2016,"Kepler",1,1,16.56523,70.71355,0.67933627,1.440,569.1850000,1.88300000000e+03,0.000000
"WD 1856+534 b","Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",3,1,20.62284,83.49862,1.40794050,10.400,24.7359000,1.63000000000e+02,0.000000
"42 Dra b","Radial Velocity",2008,"Thueringer Landessternwarte Tautenburg",2,1,27.12504,95.41912,479.10000000,13.000,90.6545000,,0.380000
"61 Vir c","Radial Velocity",2009,"Multiple Observatories",1,3,44.08875,311.85177,38.02100000,4.460,8.5033200,,0.140000
"70 Vir b","Radial Velocity",1996,"Lick Observatory",1,1,74.09910,337.65749,116.68800000,12.600,17.9011000,,0.398800
"Kepler-255 c","Transit",2014,"Kepler",1,3,10.75408,79.40697,9.94604700,2.990,1052.5300000,8.07000000000e+02,0.000000
"K2-60 b","Transit",2016,"K2",1,1,-55.37019,48.74576,3.00265000,7.656,491.8700000,1.40000000000e+03,0.000000
"Kepler-52 c","Transit",2012,"Kepler",1,3,18.08721,80.47826,16.38500210,1.840,321.5420000,4.33000000000e+02,0.000000
"Kepler-248 b","Transit",2014,"Kepler",1,2,11.54633,76.24058,6.30820500,3.020,738.7920000,8.19000000000e+02,0.000000
"24 Sex b","Radial Velocity",2010,"Lick Observatory",1,2,44.71580,245.08569,452.80000000,13.400,72.0691000,,0.090000
"24 Sex c","Radial Velocity",2010,"Lick Observatory",1,2,44.71580,245.08569,883.00000000,13.900,72.0691000,,0.290000
"rho CrB c","Radial Velocity",2016,"Multiple Observatories",1,2,48.92412,53.48367,102.54000000,5.380,17.4671000,4.48100000000e+02,0.052000
"HAT-P-43 b","Transit",2012,"HATNet",1,1,27.75424,215.48946,3.33268700,14.359,528.8250000,1.36100000000e+03,0.000000
"DENIS-P J082303.1-491201 b","Astrometry",2013,"Paranal Observatory",1,1,-6.82669,265.61638,246.36000000,11.900,20.7700000,,0.345000
"HIP 63242 b","Radial Velocity",2013,"Multiple Observatories",1,1,-2.78202,303.56064,124.60000000,12.500,156.4560000,,0.230000
"GJ 504 b","Imaging",2013,"Subaru Telescope",1,1,71.31364,322.78669,,13.000,17.5299000,5.10000000000e+02,
"2MASS J01225093-2439505 b","Imaging",2013,"W. M. Keck Observatory",1,1,-82.51990,195.45385,,11.209,33.8281000,1.60000000000e+03,
"WD 0806-661 b","Imaging",2011,"Spitzer Space Telescope",1,1,-17.57098,279.42436,,12.600,19.2444000,3.23000000000e+02,
"RR Cae b","Eclipse Timing Variations",2012,"Leoncito Astronomical Complex",2,1,-44.50181,255.71201,4343.50000000,13.000,21.1916000,,0.000000
"HATS-28 b","Transit",2016,"HATSouth",1,1,-21.13143,347.45078,3.18107810,13.384,535.3830000,1.25300000000e+03,0.202000
"2MASS J19383260+4603591 b","Eclipse Timing Variations",2015,"Kepler",2,1,11.67426,79.01876,416.00000000,13.400,396.3320000,,
"HATS-27 b","Transit",2016,"HATSouth",1,1,16.28136,303.42806,4.63703800,16.814,816.9880000,1.65900000000e+03,0.581000
"HATS-15 b","Transit",2016,"HATSouth",1,1,-33.28171,26.56133,1.74748753,12.386,1139.5500000,1.50500000000e+03,0.126000
"GJ 3341 b","Radial Velocity",2015,"La Silla Observatory",1,1,-33.03266,234.21914,14.20700000,2.460,23.6190000,,0.310000
"GJ 3512 b","Radial Velocity",2019,"Calar Alto Observatory",1,1,36.96199,157.24389,203.59000000,14.300,9.4863700,,0.435600
"GJ 581 b","Radial Velocity",2005,"La Silla Observatory",1,3,40.02208,354.07234,5.36860000,4.110,6.2981000,,0.000000
"55 Cnc f","Radial Velocity",2007,"Multiple Observatories",2,5,37.69663,196.79526,259.88000000,7.590,12.5855000,,0.080000
"EPIC 201833600 c","Transit",2019,"K2",1,2,59.32248,252.27127,3.96151000,1.000,257.4430000,,
"EPIC 205950854 c","Transit",2019,"K2",1,2,-51.71337,40.91076,8.05072200,1.310,243.9350000,9.60600000000e+02,
"EPIC 249893012 b","Transit",2020,"K2",1,3,34.30816,345.11043,3.59510000,1.950,321.2960000,1.61600000000e+03,0.060000
"EPIC 249893012 c","Transit",2020,"K2",1,3,34.30816,345.11043,15.62400000,3.670,321.2960000,9.90000000000e+02,0.070000
"GJ 3293 d","Radial Velocity",2017,"La Silla Observatory",1,4,-41.61299,223.54147,48.13450000,2.670,20.1903000,,0.120000
"GJ 3473 c","Radial Velocity",2020,"Multiple Observatories",2,2,17.28798,218.15071,15.50900000,2.630,27.3644000,3.29100000000e+02,0.000000
"GJ 3998 c","Radial Velocity",2016,"Roque de los Muchachos Observatory",1,2,26.15047,32.27249,13.74000000,2.380,18.1459000,,0.049000
"BD-08 2823 b","Radial Velocity",2009,"La Silla Observatory",1,2,34.75486,248.49513,5.60000000,3.610,41.3342000,,0.150000
"BD-10 3166 b","Radial Velocity",2000,"W. M. Keck Observatory",1,1,43.23793,263.28467,3.48777000,14.100,84.4069000,,0.020000
"BD-13 2130 b","Radial Velocity",2007,"La Silla Observatory",1,1,3.53127,230.52055,714.29999000,12.500,925.2140000,,0.210000
"HD 215152 d","Radial Velocity",2018,"La Silla Observatory",1,4,-53.19847,61.33593,10.86499000,1.480,21.5974000,,0.000000
"AB Pic b","Imaging",2005,"Paranal Observatory",1,1,-26.93081,266.94347,,12.300,50.0475000,,
"GJ 9827 d","Transit",2017,"K2",1,3,-57.18299,81.34803,6.20146980,2.022,29.6610000,6.04900000000e+02,0.000000
"HAT-P-12 b","Transit",2009,"HATNet",1,1,68.87632,87.99255,3.21305980,10.749,142.7510000,9.63000000000e+02,0.000000
"EPIC 246851721 b","Transit",2018,"K2",2,1,-12.64088,186.97531,6.18023500,11.781,372.6320000,1.40100000000e+03,
"CFBDSIR J145829+101343 b","Imaging",2011,"W. M. Keck Observatory",1,1,55.65506,9.59427,10037.50000000,12.400,23.1000000,3.70000000000e+02,
"CoRoT-14 b","Transit",2010,"CoRoT",1,1,-2.02059,218.11787,1.51214000,12.220,1744.6000000,1.95200000000e+03,0.000000
"EPIC 206024342 b","Transit",2019,"K2",1,1,-49.18710,42.94366,4.50756000,1.700,369.8880000,,
"EPIC 206215704 b","Transit",2019,"K2",1,1,-50.28505,51.97463,2.25372000,0.900,109.8880000,,
"EPIC 212297394 b","Transit",2019,"K2",1,1,43.14733,321.81920,2.28943000,1.323,418.3950000,,
"EPIC 212499991 b","Transit",2019,"K2",1,1,49.05579,317.34866,34.88500000,1.600,283.2900000,,
"EPIC 212737443 c","Transit",2019,"K2",1,2,53.83847,322.27085,65.55000000,2.690,336.2500000,3.16000000000e+02,0.200000
"GJ 180 c","Radial Velocity",2014,"Multiple Observatories",1,3,-33.72746,216.96953,24.32900000,2.410,11.9407000,,0.090000
"GJ 229 b","Radial Velocity",2014,"Multiple Observatories",2,2,-18.44091,228.61506,526.11500000,2.850,5.7562400,,0.100000
"GJ 3138 d","Radial Velocity",2017,"La Silla Observatory",1,3,-69.01004,185.99827,257.80000000,3.230,28.4712000,,0.320000
"GJ 3470 b","Radial Velocity",2012,"La Silla Observatory",1,1,21.75667,206.23529,3.33664960,4.570,29.4214000,5.93500000000e+02,0.017000
"HD 134060 c","Radial Velocity",2019,"La Silla Observatory",1,2,-2.92076,318.80629,1291.56460000,5.910,24.0125000,,0.110000
"HD 136352 b","Radial Velocity",2019,"La Silla Observatory",1,3,7.38103,327.07069,11.57779000,1.482,14.6820000,9.11000000000e+02,0.079000
"GJ 433 b","Radial Velocity",2011,"La Silla Observatory",1,3,27.65117,284.88498,7.37050000,2.330,9.0645600,,0.040000
"GJ 433 d","Radial Velocity",2020,"Multiple Facilities",1,3,27.65117,284.88498,36.05900000,2.140,9.0645600,,0.070000
"GJ 436 b","Radial Velocity",2004,"W. M. Keck Observatory",1,1,74.57238,210.55638,2.64388312,4.170,9.7532100,6.86000000000e+02,0.138270
"GJ 9827 c","Transit",2017,"K2",1,3,-57.18299,81.34803,3.64809570,1.241,29.6610000,7.21900000000e+02,0.000000
"HAT-P-13 c","Radial Velocity",2009,"W. M. Keck Observatory",1,2,37.54198,172.49839,446.27000000,12.300,246.8100000,3.40000000000e+02,0.661600
"HAT-P-14 b","Transit",2010,"HATNet",2,1,33.53751,62.58916,4.62767000,15.917,222.6630000,1.62400000000e+03,0.110000
"HAT-P-37 b","Transit",2011,"HATNet",1,1,19.98353,81.20831,2.79743600,13.204,390.5940000,1.27100000000e+03,0.058000
"CoRoT-30 b","Transit",2020,"CoRoT",1,1,7.77355,36.66096,9.06005000,11.310,1032.2300000,,0.007000
"HAT-P-40 b","Transit",2012,"HATNet",1,1,-9.86299,97.34365,4.45724000,17.038,464.4690000,1.77000000000e+03,0.000000
"HAT-P-51 b","Transit",2015,"HATNet",1,1,-29.55538,130.85829,4.21802780,14.493,440.0890000,1.19200000000e+03,0.123000
"HATS-12 b","Transit",2016,"HATSouth",1,1,-14.11663,18.14948,3.14270200,7.760,746.1380000,1.44600000000e+03,0.085000
"HATS-49 b","Transit",2020,"HATSouth",1,1,-60.44212,309.95254,4.14804670,8.575,324.4130000,8.34800000000e+02,0.071000
"HATS-54 b","Transit",2019,"HATSouth",1,1,17.83244,308.73080,2.54418280,11.960,748.5850000,1.62500000000e+03,0.126000
"HD 10180 d","Radial Velocity",2010,"La Silla Observatory",1,6,-55.69407,292.80544,16.35700000,3.450,38.9607000,,0.131000
"HD 102272 b","Radial Velocity",2008,"McDonald Observatory",1,1,70.02217,250.29360,127.58000000,12.900,347.0970000,,0.050000
"HD 42618 b","Radial Velocity",2016,"Multiple Observatories",1,1,-5.59129,202.35935,149.61000000,3.890,24.3358000,3.37000000000e+02,0.190000
"HD 110014 b","Radial Velocity",2009,"La Silla Observatory",1,1,54.75208,297.69653,835.47700000,12.400,100.7580000,,0.462000
"HD 131496 b","Radial Velocity",2011,"W. M. Keck Observatory",1,1,60.58844,21.81161,896.00000000,13.400,131.8490000,,0.181000
"BD-17 63 b","Radial Velocity",2008,"La Silla Observatory",1,1,-77.87825,95.83026,655.60000000,12.800,34.4603000,,0.540000
"CoRoT-13 b","Transit",2010,"CoRoT",1,1,-2.43966,217.39860,4.03519000,9.920,1148.9300000,1.70000000000e+03,0.000000
"EPIC 201754305 d","Transit",2019,"K2",1,3,61.77713,262.91176,2.71578000,1.030,334.9670000,,
"EPIC 201841433 b","Transit",2019,"K2",1,1,63.11979,261.10589,4.16980000,1.040,436.4880000,,
"HD 7449 b","Radial Velocity",2011,"La Silla Observatory",2,1,-67.24673,137.91736,1255.50000000,14.200,38.6620000,,0.920000
"HD 37605 b","Radial Velocity",2004,"McDonald Observatory",1,2,-12.89566,199.10550,55.01292000,13.200,46.7864000,,0.674500
"HD 40307 d","Radial Velocity",2009,"La Silla Observatory",1,5,-30.34064,268.81455,20.43200000,3.040,12.9363000,5.41000000000e+02,0.070000
"HD 75289 b","Radial Velocity",1999,"La Silla Observatory",2,1,1.08882,262.21007,3.50927000,14.200,29.1158000,1.26000000000e+03,0.030000
"HD 73526 c","Radial Velocity",2005,"Anglo-Australian Telescope",1,2,-0.18559,260.68043,379.10000000,13.300,97.2396000,,0.280000
"HD 46375 b","Radial Velocity",2000,"W. M. Keck Observatory",2,1,-1.54562,205.99222,3.02357300,10.000,29.5529000,,0.063000
"HD 7924 c","Radial Velocity",2015,"W. M. Keck Observatory",1,3,13.94549,124.73557,15.29900000,2.720,16.9922000,5.83600000000e+02,0.098000
"HD 23127 b","Radial Velocity",2006,"Anglo-Australian Telescope",1,1,-46.48356,273.94190,1211.17000000,13.500,93.8555000,,0.406000
"HD 233832 b","Radial Velocity",2018,"Roque de los Muchachos Observatory",2,1,61.62913,152.16702,2058.00000000,13.500,58.7420000,,0.359000
"HD 238090 b","Radial Velocity",2020,"Multiple Observatories",1,1,61.72135,134.94219,13.67100000,2.520,15.2354000,4.69600000000e+02,0.300000
"HD 160691 b","Radial Velocity",2000,"Anglo-Australian Telescope",1,4,-11.49850,340.05994,643.25000000,13.500,15.5981000,,0.128000
"HD 30856 b","Radial Velocity",2011,"W. M. Keck Observatory",2,1,-36.65384,224.27222,847.00000000,13.500,131.1990000,,0.061000
"HD 212301 b","Radial Velocity",2005,"La Silla Observatory",2,1,-36.78034,311.90842,2.24571000,14.200,54.2304000,,0.000000
"HD 213240 b","Radial Velocity",2001,"La Silla Observatory",2,1,-55.07162,343.71918,882.70001000,12.800,40.8707000,,0.420000
