pl_name,pl_masse,ra,dec
"HAT-P-1 b",169.08556,344.4453632,38.6749190
"47 UMa d",,164.8647611,40.4304931
"HIP 5158 b",,16.5094891,-22.4536134
"HD 134987 b",,228.3675397,-25.3096721
"HD 171238 b",,278.6818389,-28.0727849
"Kepler-32 b",1303.00000,297.8423073,46.5743595
"Kepler-136 b",,296.4673039,42.5987984
"HD 5608 b",,14.5594349,33.9505774
"HAT-P-1 b",166.54292,344.4453632,38.6749190
"Kepler-48 c",3689.85000,299.1393094,40.9489390
"GJ 676 A b",,262.5448903,-51.6377777
"HD 40307 g",,88.5172191,-60.0237289
"GJ 676 A d",,262.5448903,-51.6377777
"HD 163607 c",,268.4181383,56.3924701
"HD 164509 b",,270.3800811,0.1044685
"HD 190984 b",,302.8779827,-64.6202728
"HD 220689 b",,351.4707282,-20.6167923
"HD 10647 b",,25.6233526,-53.7412852
"Kepler-68 d",,291.0323102,49.0402129
"PSR B1257+12 c",,195.0149029,12.6823534
"PH2 b",,289.7636212,51.9626830
"HD 41004 A b",,89.9566041,-48.2394189
"HD 187123 c",,296.7428786,34.4189900
"HD 181433 c",,291.2873731,-66.4677838
"HD 181433 d",,291.2873731,-66.4677838
"11 Com b",,185.1787793,17.7932516
"HD 168443 c",,275.0159879,-9.5966905
"HD 178911 B b",,287.2632091,34.6006972
"HD 37124 c",,84.2599947,20.7289784
"HD 49674 b",,102.8773483,40.8672284
"HD 219134 d",,348.3372026,57.1696255
"OGLE-2012-BLG-0563L b",120.00000,271.4905000,-27.7120000
"K2-22 b",444.96200,169.4827046,2.6190363
"Kepler-10 c",,285.6792980,50.2414842
"Kepler-274 c",,292.9227926,38.4772173
"HAT-P-2 b",3175.12170,245.1514324,41.0479601
"HAT-P-31 b",707.80741,271.5376722,26.4266061
"HD 16141 b",,38.8323674,-3.5624887
"ups And b",,24.1983534,41.4038147
"Kepler-558 b",,284.6579709,42.6526751
"Kepler-585 b",,286.5284924,43.8733751
"Kepler-506 b",,284.6351885,40.7198296
"GJ 667 C c",,259.7510609,-34.9977651
"HD 204313 b",,322.0510568,-21.7274194
"OGLE-TR-113 b",,163.1010355,-61.4468591
"HATS-14 b",340.07810,313.2154754,-25.6873756
"WASP-46 b",607.05530,318.7370122,-55.8718634
"K2-24 b",,242.5734559,-24.9906029
"WASP-19 b",362.32620,148.4167672,-45.6591078
"Kepler-45 b",158.91500,292.8729292,41.0641727
"WASP-80 b",170.99254,303.1667996,-2.1444369
"Kepler-107 e",,297.0281620,48.2086019
"Kepler-127 d",,285.1899439,46.0280596
"Kepler-888 b",,295.5212866,49.7386804
"Kepler-879 b",,295.8065515,50.9097521
"Kepler-966 b",,297.2705760,50.1218365
"HD 10442 b",,25.4715240,2.7044193
"Kepler-442 b",,285.3666029,39.2800704
"HD 183263 c",,292.1022982,8.3579183
"HIP 67851 b",,208.4653640,-35.3146536
"HD 156668 b",,259.4183491,29.2281610
"HD 7924 b",,20.4956562,76.7101475
"WASP-28 b",288.26000,353.6162694,-1.5799849
"Kepler-1547 b",,283.7640396,42.2220992
"Kepler-322 b",,281.3487514,44.2952525
"Kepler-416 c",,291.5569554,39.2272923
"Kepler-1338 b",,284.0422701,41.6990348
"Kepler-1232 b",,296.5500966,49.1023070
"Kepler-1070 b",,293.1953923,49.3165410
"Kepler-26 e",,284.9410627,46.5664505
"Kepler-1475 b",,295.9482766,44.7530960
"Kepler-417 b",,293.8241813,42.7796480
"NGC 2682 YBP 401 b",,132.8293081,11.6710271
"K2-126 b",,203.5467021,-13.5769705
"K2-30 b",,52.3420548,22.2993491
"K2-57 b",,342.6918241,-14.0700007
"K2-61 b",,339.6748444,-13.5600447
"Kepler-5 b",,299.4070341,44.0350387
"Kepler-124 d",,286.7527322,49.0648788
"HD 214823 b",,340.0832062,31.7875183
"Kepler-250 d",,289.5947633,44.1418114
"Kepler-1451 b",,293.4464227,40.4098813
"Kepler-1455 b",,294.0830662,50.5027572
"Kepler-461 b",,292.2490563,46.1647909
"Kepler-476 b",,295.1637592,43.9630716
"Kepler-215 d",,294.9735313,45.2136867
"Kepler-82 e",,292.8733696,42.9661583
"Kepler-817 b",,296.0818498,39.1616140
"WASP-47 c",500.00000,331.2030920,-12.0190670
"K2-191 b",,201.6391407,-12.8066737
"NGC 2682 Sand 978 b",,132.8228085,11.7562959
"Kepler-701 b",,288.9941800,41.6333125
"Kepler-1513 b",,289.7917561,39.2852655
"Kepler-1514 c",,292.6274943,37.8601653
"WASP-14 b",,218.2766247,21.8946875
"HD 45652 b",,97.3058709,10.9336212
"Kepler-56 c",,293.7583002,41.8718070
"HD 164922 c",,270.6304652,26.3104077
"HD 152079 b",,253.3732313,-46.3333582
"Kepler-18 d",14.90000,298.0794448,44.7462480
"K2-158 c",,179.9397081,-5.7216879
"OGLE-2016-BLG-0613L AB b",1330.00000,269.2604060,-28.1161671
"K2-168 b",,333.1100738,-16.3418863
"K2-157 b",,183.7514959,-5.7820178
"Kepler-240 b",,291.1587635,40.7502108
"Kepler-20 e",,287.6979913,42.3385782
"KOI-351 d",,284.4334642,49.3051239
"Kepler-928 b",,289.9206760,41.5427758
"TRAPPIST-1 b",,346.6263919,-5.0434618
"Kepler-1036 b",,295.1817093,49.9458172
"HATS-12 b",759.61370,289.2024020,-19.3559227
"Kepler-757 b",,296.6804876,41.3865279
"Kepler-32 f",,297.8423073,46.5743595
"K2-79 b",,55.2559307,13.5191871
"HD 4308 b",,11.1652594,-65.6527159
"HD 98219 b",,169.4475218,-23.9754880
"HD 38283 b",,84.2605324,-73.6998131
