pl_name,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,sy_dist
"HAT-P-1 b",2,1,0,-19.03641,99.79172,4.46543000,13.922,158.9790000
"TrES-2 b",2,1,0,17.80790,79.84865,2.47063000,14.258,215.3200000
"HD 85512 b",1,1,0,8.15958,271.67876,58.43000000,,11.2810000
"Kepler-32 b",1,5,0,9.96232,80.53919,5.90124000,2.200,323.8470000
"Kepler-101 c",1,2,0,19.67348,78.04679,6.02980900,1.330,927.9810000
"Kepler-122 d",1,5,0,11.23653,72.26222,21.58747500,2.200,1027.4500000
"HD 207832 c",3,2,0,-50.21556,24.00289,1155.70000000,,58.9291000
"nu Oph c",1,2,0,6.97417,18.16751,3186.00000000,,46.2107000
"KOI-13 b",3,1,0,16.80645,77.50590,1.76358900,16.197,519.0960000
"HD 142 b",2,2,0,-66.38756,321.58140,349.70000000,,26.1853000
"HD 4732 b",2,2,0,-86.96771,113.38302,360.20000000,,54.7841000
"HD 1502 b",1,1,0,-48.08435,111.21656,431.80000000,,190.9530000
"BD-06 1339 c",1,2,0,-15.71602,211.65797,125.94000000,,20.2695000
"HD 27631 b",1,1,0,-45.36507,246.32433,2208.00000000,,50.2862000
"PSR B1257+12 c",1,3,0,75.41367,311.30973,66.53600000,,600.0000000
"KOI-94 e",2,4,0,7.98316,76.22605,54.31983200,,477.0520000
"HIP 91258 b",1,1,0,25.35738,91.36113,5.05050000,,45.8846000
"Kepler-349 b",1,2,0,11.61671,77.38633,5.92977800,1.900,940.7240000
"HD 74156 b",1,2,0,26.70482,221.98588,51.64300000,,57.6030000
"GJ 876 c",1,4,0,-59.63511,52.00313,30.12000000,,4.6751700
"HD 183263 b",1,2,0,-4.30987,44.60924,626.50000000,,54.1955000
"HD 28185 b",1,1,0,-36.93078,205.59383,385.90000000,,39.3809000
"HD 108874 b",1,2,0,83.62475,253.57668,395.80000000,,59.5175000
"HD 181433 d",1,3,0,-28.04356,329.51487,2172.00000000,,26.8762000
"11 UMi b",1,1,0,41.04437,108.71900,516.22000000,,125.3210000
"GJ 581 b",1,3,0,40.02208,354.07234,5.36874000,,6.2981000
"GJ 581 c",1,3,0,40.02208,354.07234,12.92920000,,6.2981000
"BD+14 4559 b",1,1,0,-22.63172,64.41837,268.94000000,,49.3520000
"HD 169830 b",1,2,0,-8.47110,3.68683,225.62000000,,37.6048000
"WASP-33 b",2,1,0,-21.55688,143.09688,1.21986690,16.780,121.9440000
"HD 75289 b",2,1,0,1.08882,262.21007,3.50980000,,29.1158000
"HD 2039 b",1,1,0,-60.08347,310.40299,1183.00000000,,85.6922000
"HD 195019 b",2,1,0,-11.47701,61.15665,18.20163000,,37.6681000
"HIP 14810 b",1,3,0,-31.09476,161.55108,6.67420000,,50.4800000
"HD 185269 b",3,1,0,3.58055,63.27132,6.83800000,,51.9917000
"HD 217107 c",1,2,0,-53.32407,70.47402,3150.00000000,,20.0619000
"HD 154857 b",1,2,0,-10.02581,333.28825,409.00000000,,63.4482000
"HD 160691 d",1,4,0,-11.49850,340.05994,9.55000000,,15.5981000
"HD 175541 b",1,1,0,1.00153,37.21115,297.30000000,,129.6030000
"HR 810 b",1,1,0,-58.32307,268.80649,320.10000000,,17.3181000
"HD 40307 g",1,5,0,-30.34064,268.81455,196.34300000,,12.9363000
"HAT-P-18 b",1,1,0,35.56176,55.65200,5.50797800,10.615,161.4000000
"KELT-6 c",1,2,0,85.54996,85.77535,1276.00000000,,240.7260000
"Kepler-5 b",1,1,0,7.74266,78.86640,3.54846570,15.984,899.7770000
"WASP-57 b",1,1,0,48.27260,353.50394,2.83891856,11.769,398.2760000
"Kepler-276 d",1,3,0,9.13322,72.30607,48.64600000,2.740,1144.8600000
"Kapteyn c",1,1,0,-35.97592,250.56446,121.54000000,,3.9330500
"GJ 581 b",1,3,0,40.02208,354.07234,5.36860000,,6.2981000
"OGLE-2013-BLG-0341L B b",2,1,0,-1.68315,359.94991,,,911.0000000
"HD 27442 b",2,1,0,-42.56321,270.20525,428.10000000,,18.2704000
"HD 4208 b",1,1,0,-88.32478,54.00797,828.00000000,,34.1937000
"Kepler-32 b",1,5,0,9.96232,80.53919,5.90100000,2.150,323.8470000
"Kepler-353 c",2,2,0,8.22729,75.93297,8.41100000,1.600,384.6940000
"Kepler-114 d",1,3,0,13.01505,80.94435,11.77613846,2.710,259.5330000
"Kepler-472 b",1,1,0,7.22013,73.60082,4.17625551,3.220,306.6020000
"HD 81688 b",1,1,0,46.07492,174.22741,,,85.7183000
"HD 219134 b",1,6,0,-3.20073,109.90724,3.09310000,,6.5312700
"Kepler-327 c",1,3,0,12.04240,76.56618,5.21231974,1.160,241.9870000
"K2-11 b",1,1,0,56.04852,256.65955,39.86356600,2.470,329.3090000
"Wolf 1061 b",1,3,0,23.67715,3.34702,4.88760000,,4.3059200
"HD 220842 b",2,1,0,-4.09090,111.50544,218.47000000,,64.6498000
"Kepler-49 b",1,4,0,10.71393,73.25730,7.20349407,2.180,311.2220000
"Kepler-80 b",1,6,0,7.85257,74.08669,7.05347776,2.100,369.4510000
"Kepler-126 d",1,3,0,14.23267,75.64407,100.28208000,2.513,237.4010000
"Kepler-127 b",1,3,0,17.64003,76.21619,14.43577000,1.520,352.7940000
"Kepler-487 c",1,2,0,8.99914,74.88508,38.65199760,2.680,872.3430000
"Kepler-864 b",1,1,0,17.83069,76.46837,5.83376092,2.400,2022.9000000
"Kepler-1062 b",1,1,0,16.75809,71.17442,9.30412078,1.760,397.4550000
